"T","meanR0","scaleR0"
18.9,0.274998703770899,0.0172299024506776
19,0.301968813267625,0.0189197008000539
19.1,0.331018686576607,0.0207398056822038
19.2,0.362260905946863,0.0226972708800784
19.3,0.395834250105747,0.0248007915035156
19.4,0.431834780727823,0.0270563862473649
19.5,0.47037062412624,0.0294708297102056
19.6,0.511571910683891,0.0320522751442981
19.7,0.555572746382869,0.0348091248910274
19.8,0.602468303389413,0.0377473419135559
19.9,0.652380092134459,0.0408745393854844
20,0.705434747723734,0.0441986515642788
20.1,0.761754939793768,0.0477273642529704
20.2,0.821462112378381,0.0514682864650827
20.3,0.884677944466803,0.0554290419351497
20.4,0.951527304670049,0.059617454241819
20.5,1.02211764058124,0.0640402554588157
20.6,1.09657140410016,0.0687051177469864
20.7,1.1749994882042,0.0736189890488382
20.8,1.25750269436698,0.0787881850288926
20.9,1.34420765143547,0.0842206395524779
21,1.43520748772043,0.089922187526041
21.1,1.53060585220098,0.0958993230230995
21.2,1.63049293952069,0.102157697142691
21.3,1.73496548162234,0.108703370574975
21.4,1.84410909929233,0.115541707846319
21.5,1.95801008528944,0.122678115585176
21.6,2.07674221869695,0.13011721638209
21.7,2.20038424859232,0.137863944220035
21.8,2.32899871911219,0.14592221776975
21.9,2.4626252164894,0.154294517286308
22,2.60129676648219,0.162982911981617
22.1,2.74506695469,0.171990759233871
22.2,2.89396076547141,0.181319624425216
22.3,3.04800530375146,0.1909712058008
22.4,3.20718511341936,0.200944534965945
22.5,3.37150759904708,0.211240075850302
22.6,3.54098097255352,0.221858342967429
22.7,3.71557567709429,0.232797484448432
22.8,3.89524142567999,0.244054349587835
22.9,4.07994093453355,0.255626602389747
23,4.26963486432169,0.267511778068459
23.1,4.46423851605814,0.279704569852518
23.2,4.66367286117427,0.292200026247572
23.3,4.86785552336017,0.304992986008261
23.4,5.07668814274922,0.318077286447693
23.5,5.29005058851422,0.331445400830631
23.6,5.50780900337587,0.345088942398034
23.7,5.72981848061255,0.358998832093735
23.8,5.95591523699891,0.373164808163925
23.9,6.18594102649281,0.387576955784162
24,6.41972581758549,0.402224621717652
24.1,6.65708279679398,0.417096101261631
24.2,6.89779714725074,0.432177935175668
24.3,7.14164391466435,0.447456029064248
24.4,7.38840153019092,0.462916500645331
24.5,7.6378198768821,0.478543678970064
24.6,7.88964925154741,0.494321919013382
24.7,8.14363268510264,0.51023512050938
24.8,8.3994765429214,0.526264885931455
24.9,8.65689763795772,0.542393472340785
25,8.91558816682742,0.558601594474525
25.1,9.17523828227106,0.574869839011882
25.2,9.43552270063391,0.591177825472645
25.3,9.69612197440542,0.607505539037219
25.4,9.95668751704593,0.623831139195117
25.5,10.2168685523944,0.640132648246251
25.6,10.4763069909126,0.656387630274628
25.7,10.7346353726287,0.672573062264587
25.8,10.991484951056,0.688665840594506
25.9,11.2464699136868,0.704641792380002
26,11.4992003488918,0.720476487908342
26.1,11.7492709132926,0.736144530598463
26.2,11.9962813580521,0.751620843065201
26.3,12.2398126611264,0.766879171697729
26.4,12.4794509874167,0.781893587870633
26.5,12.7147800961181,0.796638012230205
26.6,12.9453765552571,0.811085914863765
26.7,13.1708057252131,0.825210063649258
26.8,13.3906406178447,0.838983705864146
26.9,13.604450301087,0.852379841681365
27,13.8118010329699,0.865371295220709
27.1,14.0122533397551,0.877930531480961
27.2,14.2053756937947,0.890030513319134
27.3,14.3907397721076,0.901644404378965
27.4,14.5679078127119,0.912744776908479
27.5,14.7364489231843,0.923304633564337
27.6,14.8959331457767,0.933297035564818
27.7,15.0459456599234,0.942695992540565
27.8,15.186064064377,0.951475039158509
27.9,15.3158719948257,0.959608088326692
28,15.4349624492137,0.967069639540483
28.1,15.5429325709222,0.973834452025476
28.2,15.6393874385585,0.979877782184768
28.3,15.7239412413254,0.985175457241162
28.4,15.7962096230624,0.989703395556952
28.5,15.8558241627616,0.993438513903242
28.6,15.9024179906095,0.996357826240402
28.7,15.9356371545564,0.998439155884691
28.8,15.9551274788145,0.999660312134136
28.9,15.9605490836708,1
29,15.9515615521061,0.999436890828908
29.1,15.9278207764761,0.997949424733251
29.2,15.8889869264398,0.995516309817676
29.3,15.8346995657301,0.9921149631331
29.4,15.7645859659901,0.987722031575897
29.5,15.6782333124331,0.982311650447756
29.6,15.5751622725362,0.97585378741582
29.7,15.454774108929,0.968310928897853
29.8,15.3162396229518,0.959631121877998
29.9,15.1582326893805,0.949731278661888
30,14.9777274809738,0.93842181759884
30.1,14.7686840901573,0.925324311383942
30.2,14.5452544095425,0.91132543957549
30.3,14.3099774116463,0.89658428019164
30.4,14.0567516256923,0.88071854871671
30.5,13.7906827216969,0.864048138281539
30.6,13.5207317842886,0.847134501038038
30.7,13.2484209120176,0.830073003288594
30.8,12.9700967426741,0.812634745501568
30.9,12.685336670557,0.794793249533963
31,12.389655662715,0.776267507951266
31.1,12.0744826385349,0.756520504102725
31.2,11.7492940853167,0.736145982429729
31.3,11.4219647706656,0.715637332449385
31.4,11.0922209126743,0.694977400496998
31.5,10.7590715863587,0.674104100676981
31.6,10.4207432845621,0.652906314809903
31.7,10.0837600269096,0.631792801992399
31.8,9.74370147172428,0.610486607988509
31.9,9.40323454291498,0.589154827545089
32,9.06156508966094,0.567747703550614
32.1,8.71117364056055,0.545794107389009
32.2,8.36239958533109,0.523941848209135
32.3,8.01143577709514,0.501952391180052
32.4,7.68033899839407,0.481207692675925
32.5,7.34886190728654,0.460439165893431
32.6,7.02116949184347,0.43990776601958
32.7,6.69658021199481,0.419570791511557
32.8,6.37758212661774,0.399584130419588
32.9,6.06550671311851,0.380031205776255
33,5.7510117679178,0.360326686617671
33.1,5.4414597408404,0.340931863453717
33.2,5.11718256474339,0.32061444364585
33.3,4.81248103481294,0.301523525887752
33.4,4.49805517769754,0.281823335407645
33.5,4.18978489927002,0.262508819546602
33.6,3.89034403694092,0.243747506213375
33.7,3.59856944001003,0.225466518798637
33.8,3.32439816348924,0.208288458377063
33.9,3.05869000530427,0.191640650285247
34,2.80091237273481,0.17548972520002
34.1,2.55999327470816,0.16039506293222
34.2,2.30084232102507,0.144158093118429
34.3,2.06462581927508,0.129358069603469
34.4,1.83884226271418,0.115211716907378
34.5,1.62791701928762,0.101996304184368
34.6,1.43278059257528,0.0897701316580113
34.7,1.2471246932033,0.0781379566996997
34.8,1.06099870935727,0.0664763288402636
34.9,0.89385753488834,0.0560041844552105
35,0.732459873253974,0.0458918969149597
35.1,0.579151210631408,0.0362864214504961
35.2,0.438493318124581,0.0274735734858397
35.3,0.325195043526598,0.0203749283199351
35.4,0.223788528258291,0.0140213552231263
35.5,0.144647619512934,0.00906282225972555
35.6,0.0912282485780318,0.00571585902839441
35.7,0.0552526487833755,0.00346182631272407
35.8,0.0305641163297805,0.00191497900038104
35.9,0.0147030466588409,0.000921211831858818
36,0.00840227390750128,0.000526440153371518
36.1,0.00413296419965484,0.000258948747814903
36.2,0.00172618520116402,0.000108153246615436
36.3,0.000136858559350254,8.57480269837793e-06
36.4,0.000122035785299036,7.646089408283e-06
36.5,0,0
36.6,0,0
36.7,0,0
36.8,0,0
36.9,0,0
37,0,0
37.1,0,0
37.2,0,0
37.3,0,0
37.4,0,0
37.5,0,0
37.6,0,0
37.7,0,0
37.8,0,0
37.9,0,0
38,0,0
38.1,0,0
38.2,0,0
38.3,0,0
38.4,0,0
38.5,0,0
38.6,0,0
38.7,0,0
38.8,0,0
38.9,0,0
39,0,0
39.1,0,0
39.2,0,0
39.3,0,0
39.4,0,0
39.5,0,0
39.6,0,0
39.7,0,0
39.8,0,0
39.9,0,0
40,0,0
40.1,0,0
40.2,0,0
40.3,0,0
40.4,0,0
40.5,0,0
40.6,0,0
40.7,0,0
40.8,0,0
40.9,0,0
41,0,0
41.1,0,0
41.2,0,0
41.3,0,0
41.4,0,0
41.5,0,0
41.6,0,0
41.7,0,0
41.8,0,0
41.9,0,0
42,0,0
42.1,0,0
42.2,0,0
42.3,0,0
42.4,0,0
42.5,0,0
42.6,0,0
42.7,0,0
42.8,0,0
42.9,0,0
43,0,0
43.1,0,0
43.2,0,0
43.3,0,0
43.4,0,0
43.5,0,0
43.6,0,0
43.7,0,0
43.8,0,0
43.9,0,0
44,0,0
44.1,0,0
44.2,0,0
44.3,0,0
44.4,0,0
44.5,0,0
44.6,0,0
44.7,0,0
44.8,0,0
44.9,0,0
45,0,0
