"team","metric.type","forecast.week","season","metric","location","data.type","prediction.target"
"K","LS",12,"2005/2006",-4.60517,"iquitos","train","peakinc"
"N","LS",12,"2005/2006",-2.03163,"iquitos","train","peakinc"
"F","LS",12,"2005/2006",-0.864619,"iquitos","train","peakinc"
"M","LS",12,"2005/2006",-5.3229,"iquitos","train","peakinc"
"E","LS",12,"2005/2006",-1.17636,"iquitos","train","peakinc"
"baseline","AE",12,"2005/2006",32.9679,"iquitos","train","peakinc"
"B","AE",12,"2005/2006",18,"iquitos","train","peakinc"
"C","AE",12,"2005/2006",32,"iquitos","train","peakinc"
"D","AE",12,"2005/2006",32,"iquitos","train","peakinc"
"J","AE",12,"2005/2006",2.70396,"iquitos","train","peakinc"
"H","AE",12,"2005/2006",14.5642,"iquitos","train","peakinc"
"P","AE",12,"2005/2006",32.3199,"iquitos","train","peakinc"
"A","AE",12,"2005/2006",225,"iquitos","train","peakinc"
"O","AE",12,"2005/2006",21.2518,"iquitos","train","peakinc"
"L","AE",12,"2005/2006",13.9505,"iquitos","train","peakinc"
"I","AE",12,"2005/2006",2,"iquitos","train","peakinc"
"G","AE",12,"2005/2006",0.605,"iquitos","train","peakinc"
"K","AE",12,"2005/2006",38,"iquitos","train","peakinc"
"N","AE",12,"2005/2006",38,"iquitos","train","peakinc"
"F","AE",12,"2005/2006",11.0916,"iquitos","train","peakinc"
"M","AE",12,"2005/2006",27,"iquitos","train","peakinc"
"E","AE",12,"2005/2006",8,"iquitos","train","peakinc"
"baseline","LS",16,"2005/2006",-1.81769,"iquitos","train","peakinc"
"B","LS",16,"2005/2006",-2.06758,"iquitos","train","peakinc"
"C","LS",16,"2005/2006",-3.43399,"iquitos","train","peakinc"
"D","LS",16,"2005/2006",-5.41586,"iquitos","train","peakinc"
"J","LS",16,"2005/2006",-0.648821,"iquitos","train","peakinc"
"H","LS",16,"2005/2006",-2.91494,"iquitos","train","peakinc"
"P","LS",16,"2005/2006",-4.98351,"iquitos","train","peakinc"
"A","LS",16,"2005/2006",-1.83258,"iquitos","train","peakinc"
"O","LS",16,"2005/2006",-2.68352,"iquitos","train","peakinc"
"L","LS",16,"2005/2006",-1.45529,"iquitos","train","peakinc"
"I","LS",16,"2005/2006",-0.991928,"iquitos","train","peakinc"
"G","LS",16,"2005/2006",-3.13125,"iquitos","train","peakinc"
"K","LS",16,"2005/2006",-3.22883,"iquitos","train","peakinc"
"N","LS",16,"2005/2006",-Inf,"iquitos","train","peakinc"
"F","LS",16,"2005/2006",-0.820063,"iquitos","train","peakinc"
"M","LS",16,"2005/2006",-2.95695,"iquitos","train","peakinc"
"E","LS",16,"2005/2006",-1.50914,"iquitos","train","peakinc"
"baseline","AE",16,"2005/2006",30.3871,"iquitos","train","peakinc"
"B","AE",16,"2005/2006",16,"iquitos","train","peakinc"
"C","AE",16,"2005/2006",32,"iquitos","train","peakinc"
"D","AE",16,"2005/2006",32,"iquitos","train","peakinc"
"J","AE",16,"2005/2006",3.41478,"iquitos","train","peakinc"
"H","AE",16,"2005/2006",6.26072,"iquitos","train","peakinc"
"P","AE",16,"2005/2006",32.3586,"iquitos","train","peakinc"
"A","AE",16,"2005/2006",223,"iquitos","train","peakinc"
"O","AE",16,"2005/2006",0.17861,"iquitos","train","peakinc"
"L","AE",16,"2005/2006",12.6448,"iquitos","train","peakinc"
"I","AE",16,"2005/2006",4,"iquitos","train","peakinc"
"G","AE",16,"2005/2006",7.325,"iquitos","train","peakinc"
"K","AE",16,"2005/2006",14,"iquitos","train","peakinc"
"N","AE",16,"2005/2006",56,"iquitos","train","peakinc"
"F","AE",16,"2005/2006",11.0916,"iquitos","train","peakinc"
"M","AE",16,"2005/2006",22,"iquitos","train","peakinc"
"E","AE",16,"2005/2006",15,"iquitos","train","peakinc"
"baseline","LS",20,"2005/2006",-1.60246,"iquitos","train","peakinc"
"B","LS",20,"2005/2006",-2.19152,"iquitos","train","peakinc"
"C","LS",20,"2005/2006",-3.43399,"iquitos","train","peakinc"
"D","LS",20,"2005/2006",-6.02623,"iquitos","train","peakinc"
"J","LS",20,"2005/2006",-0.597132,"iquitos","train","peakinc"
"H","LS",20,"2005/2006",-2.73329,"iquitos","train","peakinc"
"P","LS",20,"2005/2006",-2.82346,"iquitos","train","peakinc"
"A","LS",20,"2005/2006",-2.04022,"iquitos","train","peakinc"
"O","LS",20,"2005/2006",-2.42622,"iquitos","train","peakinc"
"L","LS",20,"2005/2006",-1.51413,"iquitos","train","peakinc"
"I","LS",20,"2005/2006",-1.05178,"iquitos","train","peakinc"
"G","LS",20,"2005/2006",-3.57907,"iquitos","train","peakinc"
"K","LS",20,"2005/2006",-2.99573,"iquitos","train","peakinc"
"N","LS",20,"2005/2006",-Inf,"iquitos","train","peakinc"
"F","LS",20,"2005/2006",-0.893818,"iquitos","train","peakinc"
"M","LS",20,"2005/2006",-3.70463,"iquitos","train","peakinc"
"E","LS",20,"2005/2006",-2.04639,"iquitos","train","peakinc"
"baseline","AE",20,"2005/2006",23.7052,"iquitos","train","peakinc"
"B","AE",20,"2005/2006",16,"iquitos","train","peakinc"
"C","AE",20,"2005/2006",32,"iquitos","train","peakinc"
"D","AE",20,"2005/2006",25,"iquitos","train","peakinc"
"J","AE",20,"2005/2006",4.27537,"iquitos","train","peakinc"
"H","AE",20,"2005/2006",2.45397,"iquitos","train","peakinc"
"P","AE",20,"2005/2006",26.4994,"iquitos","train","peakinc"
"A","AE",20,"2005/2006",18,"iquitos","train","peakinc"
"O","AE",20,"2005/2006",3.44457,"iquitos","train","peakinc"
"L","AE",20,"2005/2006",10.6701,"iquitos","train","peakinc"
"I","AE",20,"2005/2006",3,"iquitos","train","peakinc"
"G","AE",20,"2005/2006",20.7725,"iquitos","train","peakinc"
"K","AE",20,"2005/2006",24,"iquitos","train","peakinc"
"N","AE",20,"2005/2006",81,"iquitos","train","peakinc"
"F","AE",20,"2005/2006",11.0916,"iquitos","train","peakinc"
"M","AE",20,"2005/2006",24,"iquitos","train","peakinc"
"E","AE",20,"2005/2006",20,"iquitos","train","peakinc"
"baseline","LS",24,"2005/2006",-1.35247,"iquitos","train","peakinc"
"B","LS",24,"2005/2006",-2.2399,"iquitos","train","peakinc"
"C","LS",24,"2005/2006",-3.43399,"iquitos","train","peakinc"
"D","LS",24,"2005/2006",-23.0335,"iquitos","train","peakinc"
"J","LS",24,"2005/2006",-0.766363,"iquitos","train","peakinc"
"H","LS",24,"2005/2006",-1.40581,"iquitos","train","peakinc"
"P","LS",24,"2005/2006",-1.75823,"iquitos","train","peakinc"
"A","LS",24,"2005/2006",-3.10109,"iquitos","train","peakinc"
"O","LS",24,"2005/2006",-2.58122,"iquitos","train","peakinc"
"L","LS",24,"2005/2006",-2.81341,"iquitos","train","peakinc"
"I","LS",24,"2005/2006",-Inf,"iquitos","train","peakinc"
"G","LS",24,"2005/2006",-3.43142,"iquitos","train","peakinc"
"K","LS",24,"2005/2006",-4.60517,"iquitos","train","peakinc"
"N","LS",24,"2005/2006",-Inf,"iquitos","train","peakinc"
"F","LS",24,"2005/2006",-0.845616,"iquitos","train","peakinc"
"M","LS",24,"2005/2006",-3.70463,"iquitos","train","peakinc"
"E","LS",24,"2005/2006",-2.64086,"iquitos","train","peakinc"
"baseline","AE",24,"2005/2006",11.4081,"iquitos","train","peakinc"
"B","AE",24,"2005/2006",16,"iquitos","train","peakinc"
"C","AE",24,"2005/2006",24.96,"iquitos","train","peakinc"
"D","AE",24,"2005/2006",25,"iquitos","train","peakinc"
"J","AE",24,"2005/2006",2.96364,"iquitos","train","peakinc"
"H","AE",24,"2005/2006",21.7446,"iquitos","train","peakinc"
"P","AE",24,"2005/2006",4.22055,"iquitos","train","peakinc"
"A","AE",24,"2005/2006",32,"iquitos","train","peakinc"
"O","AE",24,"2005/2006",7.50409,"iquitos","train","peakinc"
"L","AE",24,"2005/2006",13.8358,"iquitos","train","peakinc"
"I","AE",24,"2005/2006",28,"iquitos","train","peakinc"
"G","AE",24,"2005/2006",16.41,"iquitos","train","peakinc"
"K","AE",24,"2005/2006",27,"iquitos","train","peakinc"
"N","AE",24,"2005/2006",109,"iquitos","train","peakinc"
"F","AE",24,"2005/2006",11.0916,"iquitos","train","peakinc"
"M","AE",24,"2005/2006",24,"iquitos","train","peakinc"
"E","AE",24,"2005/2006",24,"iquitos","train","peakinc"
"baseline","LS",28,"2005/2006",-1.6487,"iquitos","train","peakinc"
"B","LS",28,"2005/2006",-1.72566,"iquitos","train","peakinc"
"C","LS",28,"2005/2006",-3.02964,"iquitos","train","peakinc"
"D","LS",28,"2005/2006",-Inf,"iquitos","train","peakinc"
"J","LS",28,"2005/2006",-1.37275,"iquitos","train","peakinc"
"H","LS",28,"2005/2006",-5.51713,"iquitos","train","peakinc"
"P","LS",28,"2005/2006",-1.82666,"iquitos","train","peakinc"
"A","LS",28,"2005/2006",-Inf,"iquitos","train","peakinc"
"O","LS",28,"2005/2006",-1.98344,"iquitos","train","peakinc"
"L","LS",28,"2005/2006",-2.85887,"iquitos","train","peakinc"
"I","LS",28,"2005/2006",-Inf,"iquitos","train","peakinc"
"G","LS",28,"2005/2006",-3.65097,"iquitos","train","peakinc"
"K","LS",28,"2005/2006",-3.90197,"iquitos","train","peakinc"
"N","LS",28,"2005/2006",-Inf,"iquitos","train","peakinc"
"F","LS",28,"2005/2006",-0.838958,"iquitos","train","peakinc"
"M","LS",28,"2005/2006",-3.70463,"iquitos","train","peakinc"
"E","LS",28,"2005/2006",-2.46041,"iquitos","train","peakinc"
"baseline","AE",28,"2005/2006",23.5419,"iquitos","train","peakinc"
"B","AE",28,"2005/2006",12,"iquitos","train","peakinc"
"C","AE",28,"2005/2006",78.47,"iquitos","train","peakinc"
"D","AE",28,"2005/2006",14,"iquitos","train","peakinc"
"J","AE",28,"2005/2006",1.8833,"iquitos","train","peakinc"
"H","AE",28,"2005/2006",14,"iquitos","train","peakinc"
"P","AE",28,"2005/2006",10.0279,"iquitos","train","peakinc"
"A","AE",28,"2005/2006",28,"iquitos","train","peakinc"
"O","AE",28,"2005/2006",1.87816,"iquitos","train","peakinc"
"L","AE",28,"2005/2006",14,"iquitos","train","peakinc"
"I","AE",28,"2005/2006",22,"iquitos","train","peakinc"
"G","AE",28,"2005/2006",22.875,"iquitos","train","peakinc"
"K","AE",28,"2005/2006",35,"iquitos","train","peakinc"
"N","AE",28,"2005/2006",110,"iquitos","train","peakinc"
"F","AE",28,"2005/2006",11.0916,"iquitos","train","peakinc"
"M","AE",28,"2005/2006",24,"iquitos","train","peakinc"
"E","AE",28,"2005/2006",14,"iquitos","train","peakinc"
"baseline","LS",32,"2005/2006",-2.26722,"iquitos","train","peakinc"
"B","LS",32,"2005/2006",-1.19287,"iquitos","train","peakinc"
"C","LS",32,"2005/2006",-3.36728,"iquitos","train","peakinc"
"D","LS",32,"2005/2006",-Inf,"iquitos","train","peakinc"
"J","LS",32,"2005/2006",-1.70017,"iquitos","train","peakinc"
"H","LS",32,"2005/2006",-0.00801223,"iquitos","train","peakinc"
"P","LS",32,"2005/2006",-1.84105,"iquitos","train","peakinc"
"A","LS",32,"2005/2006",-Inf,"iquitos","train","peakinc"
"O","LS",32,"2005/2006",-0.1958,"iquitos","train","peakinc"
"L","LS",32,"2005/2006",0,"iquitos","train","peakinc"
"I","LS",32,"2005/2006",-1.01693,"iquitos","train","peakinc"
"G","LS",32,"2005/2006",-3.14953,"iquitos","train","peakinc"
"K","LS",32,"2005/2006",-0.223144,"iquitos","train","peakinc"
"N","LS",32,"2005/2006",-Inf,"iquitos","train","peakinc"
"F","LS",32,"2005/2006",0,"iquitos","train","peakinc"
"M","LS",32,"2005/2006",-0.942951,"iquitos","train","peakinc"
"E","LS",32,"2005/2006",-0.273779,"iquitos","train","peakinc"
"baseline","AE",32,"2005/2006",46.7153,"iquitos","train","peakinc"
"B","AE",32,"2005/2006",9,"iquitos","train","peakinc"
"C","AE",32,"2005/2006",48.694,"iquitos","train","peakinc"
"D","AE",32,"2005/2006",0,"iquitos","train","peakinc"
"J","AE",32,"2005/2006",13.7646,"iquitos","train","peakinc"
"H","AE",32,"2005/2006",0,"iquitos","train","peakinc"
"P","AE",32,"2005/2006",8.83205,"iquitos","train","peakinc"
"A","AE",32,"2005/2006",28,"iquitos","train","peakinc"
"O","AE",32,"2005/2006",5.63736,"iquitos","train","peakinc"
"L","AE",32,"2005/2006",0,"iquitos","train","peakinc"
"I","AE",32,"2005/2006",10,"iquitos","train","peakinc"
"G","AE",32,"2005/2006",7.8875,"iquitos","train","peakinc"
"K","AE",32,"2005/2006",8,"iquitos","train","peakinc"
"N","AE",32,"2005/2006",111,"iquitos","train","peakinc"
"F","AE",32,"2005/2006",0,"iquitos","train","peakinc"
"M","AE",32,"2005/2006",8,"iquitos","train","peakinc"
"E","AE",32,"2005/2006",0,"iquitos","train","peakinc"
"baseline","LS",36,"2005/2006",-1.59702,"iquitos","train","peakinc"
"B","LS",36,"2005/2006",-0.686456,"iquitos","train","peakinc"
"C","LS",36,"2005/2006",-0.00796025,"iquitos","train","peakinc"
"D","LS",36,"2005/2006",-Inf,"iquitos","train","peakinc"
"J","LS",36,"2005/2006",-0.561435,"iquitos","train","peakinc"
"H","LS",36,"2005/2006",-0.00902059,"iquitos","train","peakinc"
"P","LS",36,"2005/2006",-1.83917,"iquitos","train","peakinc"
"A","LS",36,"2005/2006",-Inf,"iquitos","train","peakinc"
"O","LS",36,"2005/2006",-0.101713,"iquitos","train","peakinc"
"L","LS",36,"2005/2006",0,"iquitos","train","peakinc"
"I","LS",36,"2005/2006",0,"iquitos","train","peakinc"
"G","LS",36,"2005/2006",-3.09749,"iquitos","train","peakinc"
"K","LS",36,"2005/2006",-3.21888,"iquitos","train","peakinc"
"N","LS",36,"2005/2006",-Inf,"iquitos","train","peakinc"
"F","LS",36,"2005/2006",0,"iquitos","train","peakinc"
"M","LS",36,"2005/2006",-0.942951,"iquitos","train","peakinc"
"E","LS",36,"2005/2006",-0.806092,"iquitos","train","peakinc"
"baseline","AE",36,"2005/2006",32.3547,"iquitos","train","peakinc"
"B","AE",36,"2005/2006",0,"iquitos","train","peakinc"
"C","AE",36,"2005/2006",0,"iquitos","train","peakinc"
"D","AE",36,"2005/2006",0,"iquitos","train","peakinc"
